key	en_US_text	zh_text	current_local_text
widgets.serverStatus	"Server Status"	"服务器状态"	"Server Status"
widgets.uptime	"Uptime"	"运行时间"	"Uptime"
widgets.version	"Version"	"版本"	"Version"
widgets.users	"Users"	"用户"	"Users"
widgets.channels	"Channels"	"频道"	"Channels"
widgets.servers	"Servers"	"服务器"	"Servers"
widgets.operators	"Operators"	"操作员"	"Operators"
widgets.invisible	"Invisible"	"隐身"	"Invisible"
widgets.total	"Total"	"总计"	"Total"
widgets.local	"Local"	"本地"	"Local"
widgets.globalMax	"Global Max"	"全局最大"	"Global Max"
widgets.online	"Online"	"在线"	"Online"
widgets.offline	"Offline"	"离线"	"Offline"
widgets.connecting	"Connecting"	"连接中"	"Connecting"
widgets.unknown	"Unknown"	"未知"	"Unknown"
widgets.viewAll	"View All"	"查看全部"	"View All"
widgets.noData	"No data available"	"无数据"	"No data available"
widgets.loading	"Loading..."	"加载中..."	"Loading..."
widgets.error	"Error loading data"	"加载数据时出错"	"Error loading data"
widgets.statsHistory	"Stats History"	"统计历史"	"Stats History"
widgets.last24Hours	"Last 24 Hours"	"过去24小时"	"Last 24 Hours"
widgets.userActivity	"User Activity"	"用户活动"	"User Activity"
widgets.channelActivity	"Channel Activity"	"频道活动"	"Channel Activity"
widgets.serverActivity	"Server Activity"	"服务器活动"	"Server Activity"
widgets.totalUsers	"Total Users"	"总用户数"	"Total Users"
widgets.connectedToNetwork	"Connected to network"	"已连接到网络"	"Connected to network"
widgets.activeChannels	"Active Channels"	"活跃频道"	"Active Channels"
widgets.withUsers	"With users"	"有用户"	"With users"
widgets.linkedServers	"Linked Servers"	"链接服务器"	"Linked Servers"
widgets.inNetwork	"In network"	"在网络中"	"In network"
widgets.onlineOperators	"IRC Operators"	"在线 IRC 操作员"	"IRC Operators"
widgets.topChannels	"Top Channels"	"热门频道"	"Top Channels"
widgets.byUserCount	"By user count"	"按用户数"	"By user count"
widgets.noTopic	"No topic"	"无主题"	"No topic"
widgets.noChannels	"No channels"	"无频道"	"No channels"
widgets.networkServers	"Network servers"	"网络服务器"	"Network servers"
widgets.server	"Server"	"服务器"	"Server"
widgets.status	"Status"	"状态"	"Status"
widgets.ok	"OK"	"正常"	"OK"
widgets.noServers	"No servers"	"无服务器"	"No servers"
widgets.hourOverview	"24-hour overview"	"24小时概览"	"24-hour overview"
widgets.quickLinks	"Quick Links"	"快速链接"	"Quick Links"
widgets.navigateToSections	"Navigate to sections"	"导航到各个部分"	"Navigate to sections"
widgets.networkInfo	"Network Info"	"网络信息"	"Network Info"
widgets.connectionDetails	"Connection details"	"连接详情"	"Connection details"
widgets.recentBans	"Recent Bans"	"最近封禁"	"Recent Bans"
widgets.serverBans	"Server bans"	"服务器封禁"	"Server bans"
widgets.noRecentBans	"No recent bans"	"无最近封禁"	"No recent bans"
auth.panelTitle	"UnrealIRCd Panel"	"UnrealIRCd 面板"	"UnrealIRCd Panel"
auth.panelSubtitle	"Sign in to manage your IRC network"	"登录以管理您的 IRC 网络"	"Sign in to manage your IRC network"
auth.twoFactorRequired	"Two-factor authentication required"	"需要双因素认证"	"Two-factor authentication required"
auth.usernameLabel	"Username"	"用户名"	"Username"
auth.usernamePlaceholder	"Enter your username"	"输入您的用户名"	"Enter your username"
auth.passwordLabel	"Password"	"密码"	"Password"
auth.passwordPlaceholder	"Enter your password"	"输入您的密码"	"Enter your password"
auth.signInButton	"Sign In"	"登录"	"Sign In"
auth.twoFactorDescription	"Enter the 6-digit code from your authenticator app, or use a backup code."	"从您的认证器应用输入6位代码，或使用备份代码。"	"Enter the 6-digit code from your authenticator app, or use a backup code."
auth.verificationCodeLabel	"Verification Code"	"验证码"	"Verification Code"
auth.verificationCodePlaceholder	"Enter verification code"	"输入验证码"	"Enter verification code"
auth.verifyButton	"Verify"	"验证"	"Verify"
auth.backButton	"Back"	"返回"	"Back"
auth.failedLogin	"Failed to login"	"登录失败"	"Failed to login"
auth.invalidCode	"Invalid verification code"	"无效的验证码"	"Invalid verification code"
users.host	"Host"	"主机"	"Host"
users.ip	"IP"	"IP"	"IP"
users.tls	"TLS"	"TLS"	"TLS"
users.gline	"G-Line (Global)"	"G-Line (全局)"	"G-Line (Global)"
users.gzline	"GZ-Line (Global IP)"	"GZ-Line (全局IP)"	"GZ-Line (Global IP)"
users.shun	"Shun"	"Shun"	"Shun"
statistics.gLines	"G-Lines"	"G-Lines"	"G-Lines"
statistics.kLines	"K-Lines"	"K-Lines"	"K-Lines"
statistics.zLines	"Z-Lines"	"Z-Lines"	"Z-Lines"
statistics.gzLines	"GZ-Lines"	"GZ-Lines"	"GZ-Lines"
statistics.shuns	"Shuns"	"Shuns"	"Shuns"
statistics.qLines	"Q-Lines"	"Q-Lines"	"Q-Lines"
marketplace.rating	"({{count}})"	"({{count}})"	"({{count}})"
marketplace.version	"v{{version}}"	"v{{version}}"	"v{{version}}"
banExceptions.maskPlaceholder	"*@*.trusted.example.com"	"*@*.trusted.example.com"	"*@*.trusted.example.com"
banExceptions.gline	"G-Line"	"G-Line"	"G-Line"
banExceptions.kline	"K-Line"	"K-Line"	"K-Line"
banExceptions.gzline	"GZ-Line"	"GZ-Line"	"GZ-Line"
banExceptions.zline	"Z-Line"	"Z-Line"	"Z-Line"
banExceptions.shun	"Shun"	"Shun"	"Shun"
channelDetail.backToChannels	"Back to Channels"	"返回频道列表"	"Back to Channels"
channelDetail.channelDetails	"Channel Details"	"频道详情"	"Channel Details"
channelDetail.users	"users"	"用户"	"users"
channelDetail.refresh	"Refresh"	"刷新"	"Refresh"
channelDetail.setTopic	"Set Topic"	"设置主题"	"Set Topic"
channelDetail.setMode	"Set Mode"	"设置模式"	"Set Mode"
channelDetail.topic	"Topic"	"主题"	"Topic"
channelDetail.noTopicSet	"No topic set"	"未设置主题"	"No topic set"
channelDetail.setBy	"Set by"	"设置者"	"Set by"
channelDetail.userList	"User List"	"用户列表"	"User List"
channelDetail.noUsersInChannel	"No users in channel"	"频道中没有用户"	"No users in channel"
channelDetail.channelSettings	"Channel Settings"	"频道设置"	"Channel Settings"
channelDetail.settingsModes	"Settings / Modes"	"设置 / 模式"	"Settings / Modes"
channelDetail.bans	"Bans"	"封禁"	"Bans"
channelDetail.invites	"Invites"	"邀请"	"Invites"
channelDetail.excepts	"Excepts"	"例外"	"Excepts"
channelDetail.currentModes	"Current modes:"	"当前模式："	"Current modes:"
channelDetail.defaultModesOnly	"Default modes only"	"仅默认模式"	"Default modes only"
channelDetail.channelInfo	"Channel Info"	"频道信息"	"Channel Info"
channelDetail.created	"Created:"	"创建时间："	"Created:"
channelDetail.unknown	"Unknown"	"未知"	"Unknown"
channelDetail.addBan	"Add Ban"	"添加封禁"	"Add Ban"
channelDetail.maskRequired	"Please enter a mask"	"请输入掩码"	"Please enter a mask"
channelDetail.noBansSet	"No bans set"	"未设置封禁"	"No bans set"
channelDetail.addInvite	"Add Invite"	"添加邀请"	"Add Invite"
channelDetail.noInviteExceptionsSet	"No invite exceptions set"	"未设置邀请例外"	"No invite exceptions set"
channelDetail.addException	"Add Exception"	"添加例外"	"Add Exception"
channelDetail.noBanExceptionsSet	"No ban exceptions set"	"未设置封禁例外"	"No ban exceptions set"
channelDetail.setTopicTitle	"Set Topic: {{channel}}"	"设置主题：{{channel}}"	"Set Topic: {{channel}}"
channelDetail.setChannelModesTitle	"Set Channel Modes: {{channel}}"	"设置频道模式：{{channel}}"	"Set Channel Modes: {{channel}}"
channelDetail.kickUserTitle	"Kick User from {{channel}}"	"从 {{channel}} 踢出用户"	"Kick User from {{channel}}"
channelDetail.addChannelBanTitle	"Add Channel Ban"	"添加频道封禁"	"Add Channel Ban"
channelDetail.addInviteExceptionTitle	"Add Invite Exception"	"添加邀请例外"	"Add Invite Exception"
channelDetail.addBanExceptionTitle	"Add Ban Exception"	"添加封禁例外"	"Add Ban Exception"
channelDetail.applyModeChanges	"Apply Mode Changes"	"应用模式更改"	"Apply Mode Changes"
channelDetail.currentModesLabel	"Current modes"	"当前模式"	"Current modes"
channelDetail.enterModesManually	"Or enter modes manually:"	"或手动输入模式："	"Or enter modes manually:"
channelDetail.parameters	"Parameters"	"参数"	"Parameters"
channelDetail.kickUser	"Kick User"	"踢出用户"	"Kick User"
channelDetail.nickname	"Nickname"	"昵称"	"Nickname"
channelDetail.enterNicknameToKick	"Enter nickname to kick"	"输入要踢出的昵称"	"Enter nickname to kick"
channelDetail.reasonOptional	"Reason (optional)"	"原因（可选）"	"Reason (optional)"
channelDetail.enterKickReason	"Enter kick reason"	"输入踢出原因"	"Enter kick reason"
channelDetail.mask	"Mask"	"掩码"	"Mask"
channelDetail.nickUserHostOrExtended	"nick!user@host or extended ban"	"nick!user@host 或扩展封禁"	"nick!user@host or extended ban"
channelDetail.useExtendedBans	"Use extended bans like ~account:name or ~country:XX"	"使用扩展封禁，如 ~account:name 或 ~country:XX"	"Use extended bans like ~account:name or ~country:XX"
channelDetail.durationMinutesOptional	"Duration (minutes, optional)"	"持续时间（分钟，可选）"	"Duration (minutes, optional)"
channelDetail.leaveEmptyForPermanent	"Leave empty for permanent"	"留空为永久"	"Leave empty for permanent"
channelDetail.topicUpdated	"Topic updated"	"主题已更新"	"Topic updated"
channelDetail.modeChanged	"Mode changed"	"模式已更改"	"Mode changed"
channelDetail.banRemoved	"Ban removed"	"封禁已移除"	"Ban removed"
channelDetail.inviteRemoved	"Invite removed"	"邀请已移除"	"Invite removed"
channelDetail.exceptionRemoved	"Exception removed"	"例外已移除"	"Exception removed"
channelDetail.mutedFor30Min	"Muted {{user}} for 30 minutes"	"已将 {{user}} 静音 30 分钟"	"Muted {{user}} for 30 minutes"
channelDetail.bannedFor30Min	"Banned {{user}} for 30 minutes"	"已将 {{user}} 封禁 30 分钟"	"Banned {{user}} for 30 minutes"
channelDetail.failedToMute	"Failed to mute user"	"静音用户失败"	"Failed to mute user"
channelDetail.failedToBan	"Failed to ban user"	"封禁用户失败"	"Failed to ban user"
channelDetail.failedToRemoveBan	"Failed to remove ban"	"移除封禁失败"	"Failed to remove ban"
channelDetail.failedToRemoveInvite	"Failed to remove invite"	"移除邀请失败"	"Failed to remove invite"
channelDetail.failedToRemoveException	"Failed to remove exception"	"移除例外失败"	"Failed to remove exception"
channelDetail.failedToLoadChannel	"Failed to load channel: {{error}}"	"加载频道失败：{{error}}"	"Failed to load channel: {{error}}"
channelDetail.channelNotFound	"Channel not found"	"频道未找到"	"Channel not found"
channelDetail.muteTooltip	"Mute (30 min)"	"静音（30分钟）"	"Mute (30 min)"
channelDetail.kickTooltip	"Kick"	"踢出"	"Kick"
channelDetail.banTooltip	"Ban (30 min)"	"封禁（30分钟）"	"Ban (30 min)"
channelDetail.removeTooltip	"Remove"	"移除"	"Remove"
channelDetail.setByAt	"Set by {{user}} at {{time}}"	"由 {{user}} 于 {{time}} 设置"	"Set by {{user}} at {{time}}"
