key	en_US_text	zh_text	current_local_text
auth.signInButton	"Sign In"	"登录"	"Sign In"
auth.twoFactorDescription	"Enter the 6-digit code from your authenticator app, or use a backup code."	"从您的认证器应用输入6位代码，或使用备份代码。"	"Enter the 6-digit code from your authenticator app, or use a backup code."
auth.verificationCodeLabel	"Verification Code"	"验证码"	"Verification Code"
auth.verificationCodePlaceholder	"Enter verification code"	"输入验证码"	"Enter verification code"
auth.verifyButton	"Verify"	"验证"	"Verify"
auth.backButton	"Back"	"返回"	"Back"
auth.failedLogin	"Failed to login"	"登录失败"	"Failed to login"
auth.invalidCode	"Invalid verification code"	"无效的验证码"	"Invalid verification code"
users.host	"Host"	"主机"	"Host"
users.ip	"IP"	"IP"	"IP"
users.tls	"TLS"	"TLS"	"TLS"
users.gline	"G-Line (Global)"	"G-Line (全局)"	"G-Line (Global)"
users.kline	"K-Line (Local)"	"K-Line (本地)"	"K-Line (Local)"
users.shun	"Shun"	"Shun"	"Shun"
users.seconds	"{{count}}s"	"{{count}}秒"	"{{count}}s"
users.minutes	"{{count}}m"	"{{count}}分钟"	"{{count}}m"
users.hours	"{{count}}h"	"{{count}}小时"	"{{count}}h"
users.days	"{{count}}d"	"{{count}}天"	"{{count}}d"
servers.software	"Software"	"软件"	"Software"
servers.uptimeFormat	"{{days}}d {{hours}}h {{minutes}}m"	"{{days}}天 {{hours}}小时 {{minutes}}分钟"	"{{days}}d {{hours}}h {{minutes}}m"
servers.uptimeHoursMinutes	"{{hours}}h {{minutes}}m"	"{{hours}}小时 {{minutes}}分钟"	"{{hours}}h {{minutes}}m"
servers.uptimeMinutes	"{{minutes}}m"	"{{minutes}}分钟"	"{{minutes}}m"
channels.bans	"Bans"	"封禁"	"Bans"
statistics.gLines	"G-Lines"	"G-Lines"	"G-Lines"
statistics.kLines	"K-Lines"	"K-Lines"	"K-Lines"
statistics.zLines	"Z-Lines"	"Z-Lines"	"Z-Lines"
statistics.gzLines	"GZ-Lines"	"GZ-Lines"	"GZ-Lines"
statistics.shuns	"Shuns"	"Shuns"	"Shuns"
statistics.qLines	"Q-Lines"	"Q-Lines"	"Q-Lines"
marketplace.rating	"({{count}})"	"({{count}})"	"({{count}})"
marketplace.version	"v{{version}}"	"v{{version}}"	"v{{version}}"
banExceptions.maskPlaceholder	"*@*.trusted.example.com"	"*@*.trusted.example.com"	"*@*.trusted.example.com"
banExceptions.gline	"G-Line"	"G-Line"	"G-Line"
banExceptions.kline	"K-Line"	"K-Line"	"K-Line"
banExceptions.gzline	"GZ-Line"	"GZ-Line"	"GZ-Line"
banExceptions.zline	"Z-Line"	"Z-Line"	"Z-Line"
banExceptions.shun	"Shun"	"Shun"	"Shun"
channelDetail.bans	"Bans"	"封禁"	"Bans"
